ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",635,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",559,0.0005299407016263207
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",1576,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",59379,0.056292216318191944
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",163,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",165,0.00015642256845857408
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",301,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",786,0.0007451402352026621
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",203,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",2280,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",5019,0.004758090127839899
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",6376,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",50752,0.048113686026724556
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",3112.7743252603454,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",22930,0.02173799693790972
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",1499.381872639522,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3512,0.003329430669251589
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",877,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",498670,0.4822400804587697
0,"White Alone",1,"Hispanic or Latino",2015,"2015",5627,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",88442,0.08552805902888586
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",3803.9999999999995,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",316773,0.30633612811511796
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",1376,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3436,0.0033227924608585494
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",976,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3049,0.0029485431353776822
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",422,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",398,0.0003848869032077132
